indice,tempo_s,resultado,latencia_ms
238,3.827,rejeitado_conexao_fechada,0.664
239,3.855,rejeitado_conexao_fechada,18.647
240,3.871,rejeitado_conexao_fechada,16.312
241,3.887,rejeitado_conexao_fechada,16.160
242,3.904,rejeitado_conexao_fechada,16.215
243,3.920,rejeitado_conexao_fechada,16.207
244,3.936,rejeitado_conexao_fechada,15.972
245,3.937,rejeitado_conexao_fechada,0.924
246,3.957,rejeitado_conexao_fechada,11.119
247,3.973,rejeitado_conexao_fechada,15.485
248,3.988,rejeitado_conexao_fechada,15.750
249,4.007,rejeitado_conexao_fechada,18.397
250,4.023,rejeitado_conexao_fechada,16.239
251,4.024,rejeitado_conexao_fechada,0.836
252,4.055,rejeitado_conexao_fechada,21.246
253,4.056,rejeitado_conexao_fechada,0.934
254,4.078,rejeitado_conexao_fechada,13.008
255,4.079,rejeitado_conexao_fechada,0.747
256,4.105,rejeitado_conexao_fechada,15.961
257,4.120,rejeitado_conexao_fechada,15.273
258,4.138,rejeitado_conexao_fechada,18.321
259,4.154,rejeitado_conexao_fechada,16.330
260,4.155,rejeitado_conexao_fechada,0.878
261,4.186,rejeitado_conexao_fechada,20.523
262,4.205,rejeitado_conexao_fechada,19.560
263,4.221,rejeitado_conexao_fechada,15.558
264,4.222,rejeitado_conexao_fechada,0.660
265,4.256,rejeitado_conexao_fechada,24.087
266,4.272,rejeitado_conexao_fechada,16.039
267,4.288,rejeitado_conexao_fechada,16.177
268,4.289,rejeitado_conexao_fechada,0.822
269,4.322,rejeitado_conexao_fechada,24.080
270,4.338,rejeitado_conexao_fechada,15.533
271,4.339,rejeitado_conexao_fechada,0.802
272,4.370,rejeitado_conexao_fechada,20.969
273,4.388,rejeitado_conexao_fechada,18.157
274,4.404,rejeitado_conexao_fechada,15.969
275,4.420,rejeitado_conexao_fechada,16.318
276,4.436,rejeitado_conexao_fechada,16.302
277,4.453,rejeitado_conexao_fechada,16.036
278,4.453,rejeitado_conexao_fechada,0.918
279,4.485,rejeitado_conexao_fechada,21.443
280,4.500,rejeitado_conexao_fechada,15.545
281,4.516,rejeitado_conexao_fechada,15.931
282,4.532,rejeitado_conexao_fechada,16.427
283,4.554,rejeitado_conexao_fechada,21.841
284,4.571,rejeitado_conexao_fechada,16.186
285,4.572,rejeitado_conexao_fechada,1.056
286,4.604,rejeitado_conexao_fechada,23.297
287,4.622,rejeitado_conexao_fechada,17.569
288,4.637,rejeitado_conexao_fechada,15.021
289,4.637,rejeitado_conexao_fechada,0.575
290,4.674,rejeitado_conexao_fechada,26.145
291,4.675,rejeitado_conexao_fechada,0.778
292,4.705,rejeitado_conexao_fechada,19.931
293,4.722,rejeitado_conexao_fechada,17.167
294,4.723,rejeitado_conexao_fechada,0.807
295,4.754,rejeitado_conexao_fechada,21.680
296,4.770,rejeitado_conexao_fechada,16.389
297,4.771,rejeitado_conexao_fechada,0.890
298,4.804,rejeitado_conexao_fechada,23.384
299,4.805,rejeitado_conexao_fechada,0.905
300,4.836,rejeitado_conexao_fechada,22.269
301,4.855,rejeitado_conexao_fechada,19.127
302,4.856,rejeitado_conexao_fechada,0.866
303,4.867,rejeitado_conexao_fechada,0.942
304,4.887,rejeitado_conexao_fechada,10.893
305,4.904,rejeitado_conexao_fechada,16.505
306,4.919,rejeitado_conexao_fechada,14.940
307,4.919,rejeitado_conexao_fechada,0.601
308,4.955,rejeitado_conexao_fechada,26.398
309,4.971,rejeitado_conexao_fechada,15.981
310,4.988,rejeitado_conexao_fechada,16.331
311,5.004,rejeitado_conexao_fechada,15.974
312,5.020,rejeitado_conexao_fechada,15.741
313,5.039,rejeitado_conexao_fechada,19.493
314,5.040,rejeitado_conexao_fechada,0.886
315,5.050,rejeitado_conexao_fechada,0.938
316,5.089,rejeitado_conexao_fechada,29.661
317,5.090,rejeitado_conexao_fechada,0.698
318,5.121,rejeitado_conexao_fechada,21.032
319,5.137,rejeitado_conexao_fechada,16.096
320,5.138,rejeitado_conexao_fechada,0.704
321,5.148,rejeitado_conexao_fechada,0.554
322,5.169,rejeitado_conexao_fechada,11.307
323,5.170,rejeitado_conexao_fechada,0.707
324,5.202,rejeitado_conexao_fechada,22.183
325,5.203,rejeitado_conexao_fechada,0.880
326,5.235,rejeitado_conexao_fechada,22.386
327,5.251,rejeitado_conexao_fechada,15.950
328,5.273,rejeitado_conexao_fechada,22.035
329,5.289,rejeitado_conexao_fechada,15.908
330,5.304,rejeitado_conexao_fechada,14.796
331,5.324,rejeitado_conexao_fechada,20.304
332,5.340,rejeitado_conexao_fechada,16.454
333,5.341,rejeitado_conexao_fechada,0.670
334,5.372,rejeitado_conexao_fechada,20.618
335,5.388,rejeitado_conexao_fechada,15.526
336,5.389,rejeitado_conexao_fechada,0.851
337,5.420,rejeitado_conexao_fechada,22.344
338,5.438,rejeitado_conexao_fechada,17.117
339,5.453,rejeitado_conexao_fechada,15.835
340,5.454,rejeitado_conexao_fechada,0.744
341,5.485,rejeitado_conexao_fechada,20.826
342,5.486,rejeitado_conexao_fechada,0.773
343,5.521,rejeitado_conexao_fechada,25.619
344,5.537,rejeitado_conexao_fechada,15.474
345,5.555,rejeitado_conexao_fechada,18.238
346,5.556,rejeitado_conexao_fechada,0.916
347,5.586,rejeitado_conexao_fechada,21.022
348,5.603,rejeitado_conexao_fechada,16.125
349,5.624,rejeitado_conexao_fechada,21.806
350,5.625,rejeitado_conexao_fechada,0.757
351,5.654,rejeitado_conexao_fechada,19.325
352,5.670,rejeitado_conexao_fechada,16.380
353,5.689,rejeitado_conexao_fechada,18.279
354,5.705,rejeitado_conexao_fechada,15.841
355,5.721,rejeitado_conexao_fechada,16.149
356,5.739,rejeitado_conexao_fechada,17.980
357,5.740,rejeitado_conexao_fechada,0.874
358,5.770,rejeitado_conexao_fechada,20.617
359,5.788,rejeitado_conexao_fechada,18.498
360,5.789,rejeitado_conexao_fechada,0.889
361,5.822,rejeitado_conexao_fechada,22.522
362,5.838,rejeitado_conexao_fechada,15.948
363,5.854,rejeitado_conexao_fechada,16.253
364,5.870,rejeitado_conexao_fechada,16.301
365,5.886,rejeitado_conexao_fechada,15.985
366,5.902,rejeitado_conexao_fechada,15.969
367,5.919,rejeitado_conexao_fechada,16.400
368,5.936,rejeitado_conexao_fechada,16.998
369,5.954,rejeitado_conexao_fechada,18.553
370,5.971,rejeitado_conexao_fechada,16.403
