indice,tempo_s,resultado,latencia_ms
430,4.477,rejeitado_500,2.340
431,4.487,rejeitado_500,2.197
432,4.497,rejeitado_500,2.145
433,4.507,rejeitado_500,2.241
434,4.517,rejeitado_500,2.202
435,4.527,rejeitado_500,2.260
436,4.539,rejeitado_500,3.102
437,4.550,rejeitado_500,4.068
438,4.559,rejeitado_500,2.913
439,4.569,rejeitado_500,2.499
440,4.579,rejeitado_500,2.410
441,4.589,rejeitado_500,2.213
442,4.601,rejeitado_500,3.764
443,4.611,rejeitado_500,3.207
444,4.621,rejeitado_500,2.897
445,4.631,rejeitado_500,2.393
446,4.642,rejeitado_500,3.005
447,4.654,rejeitado_500,3.592
448,4.664,rejeitado_500,3.579
449,4.673,rejeitado_500,2.750
450,4.684,rejeitado_500,3.001
451,4.694,rejeitado_500,3.045
452,4.705,rejeitado_500,3.468
453,4.714,rejeitado_500,2.126
454,4.725,rejeitado_500,3.268
455,4.736,rejeitado_500,3.443
456,4.747,rejeitado_500,3.395
457,4.758,rejeitado_500,3.243
458,4.769,rejeitado_500,3.726
459,4.778,rejeitado_500,2.905
460,4.790,rejeitado_500,3.667
461,4.799,rejeitado_500,2.696
462,4.809,rejeitado_500,2.255
463,4.821,rejeitado_500,3.332
464,4.831,rejeitado_500,3.001
465,4.841,rejeitado_500,3.047
466,4.853,rejeitado_500,3.477
467,4.864,rejeitado_500,3.662
468,4.875,rejeitado_500,3.743
469,4.886,rejeitado_500,3.829
470,4.897,rejeitado_500,3.472
471,4.908,rejeitado_500,3.437
472,4.919,rejeitado_500,3.727
473,4.928,rejeitado_500,2.857
474,4.939,rejeitado_500,3.063
475,4.949,rejeitado_500,3.114
476,4.960,rejeitado_500,3.195
477,4.971,rejeitado_500,3.810
478,4.982,rejeitado_500,3.464
479,4.992,rejeitado_500,3.450
480,5.003,rejeitado_500,3.653
481,5.014,rejeitado_500,3.871
482,5.025,rejeitado_500,4.569
483,5.035,rejeitado_500,4.131
484,5.045,rejeitado_500,3.817
485,5.055,rejeitado_500,3.523
486,5.065,rejeitado_500,3.020
487,5.076,rejeitado_500,3.547
488,5.084,rejeitado_500,2.135
489,5.094,rejeitado_500,1.992
490,5.105,rejeitado_500,2.202
491,5.115,rejeitado_500,2.086
492,5.125,rejeitado_500,2.206
493,5.137,rejeitado_500,3.340
494,5.147,rejeitado_500,3.047
495,5.160,rejeitado_500,4.853
496,5.168,rejeitado_500,2.679
497,5.177,rejeitado_500,2.228
498,5.190,rejeitado_500,4.075
499,5.200,rejeitado_500,3.691
500,5.209,rejeitado_500,2.967
501,5.220,rejeitado_500,3.529
502,5.231,rejeitado_500,3.671
503,5.242,rejeitado_500,3.744
504,5.253,rejeitado_500,3.839
505,5.263,rejeitado_500,4.110
506,5.274,rejeitado_500,3.549
507,5.284,rejeitado_500,3.893
508,5.294,rejeitado_500,2.839
509,5.305,rejeitado_500,3.762
510,5.316,rejeitado_500,3.745
511,5.326,rejeitado_500,3.279
512,5.337,rejeitado_500,3.589
513,5.347,rejeitado_500,2.837
514,5.357,rejeitado_500,2.467
515,5.367,rejeitado_500,2.273
516,5.378,rejeitado_500,2.727
517,5.389,rejeitado_500,3.604
518,5.398,rejeitado_500,2.314
519,5.408,rejeitado_500,2.294
520,5.418,rejeitado_500,2.075
521,5.429,rejeitado_500,2.344
522,5.441,rejeitado_500,3.862
523,5.450,rejeitado_500,2.421
524,5.460,rejeitado_500,2.466
525,5.471,rejeitado_500,2.734
526,5.481,rejeitado_500,2.403
527,5.491,rejeitado_500,2.211
528,5.501,rejeitado_500,2.383
529,5.512,rejeitado_500,2.805
530,5.522,rejeitado_500,2.447
531,5.532,rejeitado_500,2.491
532,5.543,rejeitado_500,2.573
533,5.553,rejeitado_500,2.417
534,5.563,rejeitado_500,2.327
535,5.573,rejeitado_500,2.276
536,5.584,rejeitado_500,2.147
537,5.594,rejeitado_500,2.276
538,5.604,rejeitado_500,2.335
539,5.614,rejeitado_500,2.232
540,5.625,rejeitado_500,2.137
541,5.635,rejeitado_500,2.169
542,5.646,rejeitado_500,2.316
543,5.658,rejeitado_500,2.999
544,5.669,rejeitado_500,4.217
545,5.680,rejeitado_500,3.998
546,5.690,rejeitado_500,3.282
547,5.702,rejeitado_500,3.933
548,5.712,rejeitado_500,3.975
549,5.722,rejeitado_500,2.953
550,5.733,rejeitado_500,3.829
551,5.744,rejeitado_500,3.201
552,5.756,rejeitado_500,4.742
553,5.765,rejeitado_500,3.348
554,5.775,rejeitado_500,3.074
555,5.785,rejeitado_500,2.906
556,5.795,rejeitado_500,2.834
557,5.805,rejeitado_500,2.414
558,5.816,rejeitado_500,2.622
559,5.826,rejeitado_500,2.236
560,5.837,rejeitado_500,2.757
561,5.847,rejeitado_500,2.225
562,5.859,rejeitado_500,4.923
563,5.867,rejeitado_500,2.558
564,5.879,rejeitado_500,2.842
565,5.888,rejeitado_500,2.235
566,5.899,rejeitado_500,3.095
567,5.910,rejeitado_500,3.221
568,5.921,rejeitado_500,3.544
569,5.932,rejeitado_500,3.160
570,5.942,rejeitado_500,3.027
571,5.952,rejeitado_500,2.792
572,5.962,rejeitado_500,2.456
573,5.975,rejeitado_500,4.926
574,5.984,rejeitado_500,3.346
575,5.993,rejeitado_500,2.636
576,6.004,rejeitado_500,2.600
577,6.015,rejeitado_500,3.126
578,6.024,rejeitado_500,2.463
579,6.035,rejeitado_500,3.433
580,6.047,rejeitado_500,4.289
581,6.056,rejeitado_500,2.767
582,6.065,rejeitado_500,2.295
583,6.076,rejeitado_500,2.908
584,6.088,rejeitado_500,3.654
585,6.099,rejeitado_500,3.465
586,6.109,rejeitado_500,3.532
587,6.120,rejeitado_500,3.710
588,6.129,rejeitado_500,2.256
589,6.141,rejeitado_500,3.459
590,6.151,rejeitado_500,3.470
591,6.161,rejeitado_500,3.075
592,6.172,rejeitado_500,3.594
593,6.183,rejeitado_500,3.609
594,6.193,rejeitado_500,3.443
595,6.204,rejeitado_500,3.863
596,6.214,rejeitado_500,3.835
597,6.224,rejeitado_500,3.376
598,6.235,rejeitado_500,3.969
599,6.246,rejeitado_500,3.823
600,6.256,rejeitado_500,3.771
601,6.266,rejeitado_500,3.414
602,6.276,rejeitado_500,2.932
603,6.287,rejeitado_500,3.534
604,6.296,rejeitado_500,2.585
605,6.307,rejeitado_500,3.128
606,6.317,rejeitado_500,2.369
607,6.327,rejeitado_500,2.803
608,6.338,rejeitado_500,3.295
609,6.348,rejeitado_500,2.793
610,6.358,rejeitado_500,2.750
611,6.368,rejeitado_500,2.362
612,6.380,rejeitado_500,4.064
613,6.388,rejeitado_500,2.320
614,6.398,rejeitado_500,2.448
615,6.409,rejeitado_500,2.238
616,6.419,rejeitado_500,2.215
617,6.431,rejeitado_500,3.975
618,6.439,rejeitado_500,2.537
619,6.449,rejeitado_500,2.364
620,6.460,rejeitado_500,2.888
621,6.471,rejeitado_500,2.567
622,6.482,rejeitado_500,3.594
623,6.492,rejeitado_500,2.778
624,6.502,rejeitado_500,2.513
625,6.513,rejeitado_500,3.082
626,6.523,rejeitado_500,2.768
627,6.533,rejeitado_500,3.333
628,6.543,rejeitado_500,2.385
629,6.553,rejeitado_500,2.264
630,6.564,rejeitado_500,2.689
631,6.573,rejeitado_500,2.462
632,6.584,rejeitado_500,2.669
633,6.594,rejeitado_500,2.405
634,6.605,rejeitado_500,2.322
635,6.615,rejeitado_500,2.197
636,6.626,rejeitado_500,2.807
637,6.636,rejeitado_500,2.568
638,6.646,rejeitado_500,2.362
639,6.657,rejeitado_500,2.759
640,6.667,rejeitado_500,2.501
641,6.677,rejeitado_500,2.663
642,6.687,rejeitado_500,2.832
643,6.697,rejeitado_500,2.416
644,6.707,rejeitado_500,2.491
645,6.719,rejeitado_500,3.637
646,6.728,rejeitado_500,3.109
647,6.739,rejeitado_500,3.123
648,6.750,rejeitado_500,3.613
649,6.760,rejeitado_500,2.928
650,6.771,rejeitado_500,3.862
651,6.781,rejeitado_500,2.945
652,6.791,rejeitado_500,2.983
653,6.802,rejeitado_500,3.736
654,6.812,rejeitado_500,2.970
655,6.822,rejeitado_500,3.057
656,6.832,rejeitado_500,3.002
657,6.843,rejeitado_500,3.086
658,6.854,rejeitado_500,3.853
659,6.864,rejeitado_500,3.315
660,6.875,rejeitado_500,3.701
661,6.884,rejeitado_500,2.635
662,6.894,rejeitado_500,2.293
663,6.906,rejeitado_500,3.746
664,6.917,rejeitado_500,3.975
665,6.926,rejeitado_500,3.360
666,6.936,rejeitado_500,2.924
667,6.946,rejeitado_500,2.967
668,6.958,rejeitado_500,3.525
669,6.968,rejeitado_500,3.841
670,6.978,rejeitado_500,3.348
671,6.989,rejeitado_500,3.325
672,7.000,rejeitado_500,3.736
673,7.009,rejeitado_500,3.008
674,7.020,rejeitado_500,3.018
675,7.031,rejeitado_500,3.992
676,7.040,rejeitado_500,2.514
677,7.051,rejeitado_500,3.511
678,7.060,rejeitado_500,2.444
679,7.071,rejeitado_500,3.329
680,7.082,rejeitado_500,3.718
681,7.093,rejeitado_500,3.548
682,7.110,rejeitado_500,10.784
683,7.113,rejeitado_500,2.685
684,7.125,rejeitado_500,3.480
685,7.136,rejeitado_500,3.790
686,7.146,rejeitado_500,3.651
687,7.157,rejeitado_500,4.083
688,7.167,rejeitado_500,3.976
689,7.177,rejeitado_500,3.354
690,7.188,rejeitado_500,3.290
691,7.198,rejeitado_500,3.580
692,7.209,rejeitado_500,3.557
693,7.220,rejeitado_500,3.791
694,7.230,rejeitado_500,3.423
695,7.241,rejeitado_500,3.692
696,7.251,rejeitado_500,3.634
697,7.261,rejeitado_500,2.899
698,7.273,rejeitado_500,4.220
699,7.283,rejeitado_500,3.909
700,7.292,rejeitado_500,2.938
701,7.303,rejeitado_500,3.606
702,7.314,rejeitado_500,3.959
703,7.324,rejeitado_500,3.701
704,7.335,rejeitado_500,3.855
705,7.345,rejeitado_500,3.686
706,7.356,rejeitado_500,4.082
707,7.365,rejeitado_500,2.626
708,7.375,rejeitado_500,2.635
709,7.385,rejeitado_500,2.185
710,7.396,rejeitado_500,2.161
711,7.406,rejeitado_500,2.330
712,7.417,rejeitado_500,2.295
713,7.428,rejeitado_500,4.015
714,7.437,rejeitado_500,2.577
715,7.447,rejeitado_500,2.447
716,7.458,rejeitado_500,2.153
717,7.468,rejeitado_500,2.219
718,7.479,rejeitado_500,2.231
719,7.489,rejeitado_500,2.271
720,7.500,rejeitado_500,2.151
721,7.510,rejeitado_500,2.110
722,7.521,rejeitado_500,2.499
723,7.531,rejeitado_500,2.546
724,7.542,rejeitado_500,2.942
725,7.552,rejeitado_500,2.315
726,7.563,rejeitado_500,2.997
