indice,tempo_s,resultado,latencia_ms
289,4.303,rejeitado_conexao_fechada,16.027
290,4.303,rejeitado_conexao_fechada,0.669
291,4.335,rejeitado_conexao_fechada,21.614
292,4.350,rejeitado_conexao_fechada,15.550
293,4.367,rejeitado_conexao_fechada,16.453
294,4.368,rejeitado_conexao_fechada,0.856
295,4.378,rejeitado_conexao_fechada,0.957
296,4.403,rejeitado_conexao_fechada,15.577
297,4.419,rejeitado_conexao_fechada,16.022
298,4.420,rejeitado_conexao_fechada,0.623
299,4.451,rejeitado_conexao_fechada,21.067
300,4.477,rejeitado_conexao_fechada,26.120
301,4.492,rejeitado_conexao_fechada,14.796
302,4.514,rejeitado_conexao_fechada,21.992
303,4.536,rejeitado_conexao_fechada,22.397
304,4.552,rejeitado_conexao_fechada,16.356
305,4.568,rejeitado_conexao_fechada,15.966
306,4.569,rejeitado_conexao_fechada,0.850
307,4.590,rejeitado_conexao_fechada,11.897
308,4.607,rejeitado_conexao_fechada,16.562
309,4.620,rejeitado_conexao_fechada,13.152
310,4.636,rejeitado_conexao_fechada,16.136
311,4.654,rejeitado_conexao_fechada,17.682
312,4.655,rejeitado_conexao_fechada,0.879
313,4.686,rejeitado_conexao_fechada,21.771
314,4.687,rejeitado_conexao_fechada,0.727
315,4.718,rejeitado_conexao_fechada,20.880
316,4.737,rejeitado_conexao_fechada,18.957
317,4.752,rejeitado_conexao_fechada,15.637
318,4.768,rejeitado_conexao_fechada,15.948
319,4.786,rejeitado_conexao_fechada,17.987
320,4.802,rejeitado_conexao_fechada,16.030
321,4.818,rejeitado_conexao_fechada,15.724
322,4.833,rejeitado_conexao_fechada,14.722
323,4.853,rejeitado_conexao_fechada,20.484
324,4.869,rejeitado_conexao_fechada,15.648
325,4.884,rejeitado_conexao_fechada,15.038
326,4.903,rejeitado_conexao_fechada,18.750
327,4.920,rejeitado_conexao_fechada,16.940
328,4.935,rejeitado_conexao_fechada,15.634
329,4.936,rejeitado_conexao_fechada,0.906
330,4.968,rejeitado_conexao_fechada,22.603
331,4.986,rejeitado_conexao_fechada,17.630
332,5.003,rejeitado_conexao_fechada,17.636
333,5.020,rejeitado_conexao_fechada,16.570
334,5.036,rejeitado_conexao_fechada,15.946
335,5.052,rejeitado_conexao_fechada,16.289
336,5.068,rejeitado_conexao_fechada,16.242
337,5.085,rejeitado_conexao_fechada,16.203
338,5.101,rejeitado_conexao_fechada,15.930
339,5.116,rejeitado_conexao_fechada,14.948
340,5.132,rejeitado_conexao_fechada,16.405
341,5.146,rejeitado_conexao_fechada,14.492
342,5.162,rejeitado_conexao_fechada,15.540
343,5.178,rejeitado_conexao_fechada,16.236
344,5.179,rejeitado_conexao_fechada,0.826
345,5.203,rejeitado_conexao_fechada,14.522
346,5.204,rejeitado_conexao_fechada,0.812
347,5.215,rejeitado_conexao_fechada,0.995
348,5.225,rejeitado_conexao_fechada,1.067
349,5.236,rejeitado_conexao_fechada,0.939
350,5.246,rejeitado_conexao_fechada,0.989
351,5.268,rejeitado_conexao_fechada,12.347
352,5.269,rejeitado_conexao_fechada,0.797
353,5.299,rejeitado_conexao_fechada,20.799
354,5.300,rejeitado_conexao_fechada,0.732
355,5.310,rejeitado_conexao_fechada,0.782
356,5.334,rejeitado_conexao_fechada,14.187
357,5.349,rejeitado_conexao_fechada,15.707
358,5.350,rejeitado_conexao_fechada,0.823
359,5.384,rejeitado_conexao_fechada,24.705
360,5.400,rejeitado_conexao_fechada,15.933
361,5.401,rejeitado_conexao_fechada,0.661
362,5.411,rejeitado_conexao_fechada,0.695
363,5.434,rejeitado_conexao_fechada,13.015
364,5.451,rejeitado_conexao_fechada,17.647
365,5.452,rejeitado_conexao_fechada,0.748
366,5.483,rejeitado_conexao_fechada,21.815
367,5.484,rejeitado_conexao_fechada,0.678
368,5.494,rejeitado_conexao_fechada,0.825
369,5.505,rejeitado_conexao_fechada,0.760
370,5.515,rejeitado_conexao_fechada,0.725
371,5.538,rejeitado_conexao_fechada,13.772
372,5.539,rejeitado_conexao_fechada,0.717
373,5.569,rejeitado_conexao_fechada,20.589
374,5.570,rejeitado_conexao_fechada,0.698
375,5.602,rejeitado_conexao_fechada,22.865
376,5.618,rejeitado_conexao_fechada,15.925
377,5.619,rejeitado_conexao_fechada,0.678
